Container,Nhiệt độ (°C),Độ ẩm (%),Thời gian chờ (giờ),Làm lạnh
MG001,5.7,83,16,Bình thường
MG002,4.1,78,20,Bình thường
MG003,7.3,85,35,Bình thường
MG004,4.2,79,12,Bình thường
MG005,4.7,80,16,Bình thường
MG006,4.4,80,14,Bình thường
MG007,6.4,87,31,Bất thường
MG008,6.4,85,35,Bình thường
MG009,6.6,85,32,Bình thường
MG010,4.8,78,20,Bình thường
MG011,5.1,80,15,Bình thường
MG012,4.2,84,18,Bình thường
MG013,11.2,94,69,Bình thường
MG014,3.9,80,13,Bình thường
MG015,5.5,80,11,Bình thường
MG016,4.1,83,9,Bình thường
MG017,10.7,91,38,Bất thường
MG018,7.3,88,25,Bình thường
MG019,5.5,82,12,Bình thường
MG020,4.4,80,18,Bình thường
MG021,7.6,87,26,Bình thường
MG022,7.1,88,30,Bình thường
MG023,3.9,78,8,Bình thường
MG024,6.6,87,34,Bình thường
MG025,5.3,79,9,Bình thường
MG026,4.1,84,19,Bình thường
MG027,7.6,89,27,Bình thường
MG028,5.4,84,12,Bình thường
MG029,4.3,80,19,Bình thường
MG030,8.2,93,52,Bình thường
MG031,4.5,84,12,Bình thường
MG032,5.2,80,21,Bình thường
MG033,9.0,93,48,Bình thường
MG034,5.0,81,8,Bình thường
MG035,5.6,79,10,Bình thường
MG036,5.8,79,17,Bình thường
MG037,6.5,88,29,Bình thường
MG038,7.0,85,34,Bình thường
MG039,3.9,82,17,Bình thường
MG040,4.8,79,17,Bình thường
MG041,5.2,80,21,Bình thường
MG042,4.5,78,20,Bình thường
MG043,9.1,94,65,Bất thường
MG044,4.3,78,20,Bình thường
MG045,10.3,92,49,Bất thường
MG046,11.1,95,59,Bình thường
MG047,5.6,82,8,Bình thường
MG048,5.1,78,10,Bình thường
MG049,5.2,82,11,Bình thường
MG050,6.5,86,33,Bình thường
MG051,7.2,87,26,Bình thường
MG052,4.3,84,13,Bình thường
MG053,10.3,95,55,Bất thường
MG054,4.2,83,11,Bình thường
MG055,5.1,79,21,Bình thường
MG056,11.2,92,38,Bất thường
MG057,5.7,84,19,Bình thường
MG058,4.6,83,12,Bình thường
MG059,4.9,84,17,Bình thường
MG060,4.0,82,21,Bình thường
MG061,4.8,84,18,Bình thường
MG062,7.3,86,28,Bình thường
MG063,7.6,89,30,Bình thường
MG064,7.2,88,33,Bình thường
MG065,4.6,78,16,Bình thường
MG066,4.7,81,12,Bình thường
MG067,3.9,78,19,Bình thường
MG068,4.1,81,18,Bình thường
MG069,5.0,78,8,Bình thường
MG070,4.9,82,18,Bình thường
MG071,9.9,92,65,Bình thường
MG072,4.0,78,21,Bình thường
MG073,7.3,87,26,Bình thường
MG074,4.9,83,17,Bình thường
MG075,5.7,83,15,Bình thường
MG076,6.8,86,28,Bình thường
MG077,4.0,78,8,Bình thường
MG078,10.5,93,41,Bất thường
MG079,4.1,81,13,Bình thường
MG080,7.2,85,29,Bình thường
